ProductName,ProductBrand,Gender,Price (INR),Description,PrimaryColor,JenisPakaian
Lino Perros Beige Solid Handheld Bag,Lino Perros,Women,1677,"Beige solid handheld bag, has a zip closure1 main compartment, 1 inner pocketTablet sleeve: NoTwo Handles",Beige,Bag
Lapis O Lupo Black Solid Sling Bag,Lapis O Lupo,Women,755,"Black solid sling bag, has a button closure1 main compartment, 1 inner pocketA non-detachable sling strap",Black,Bag
Pepe Jeans Girls Red Embellished Printed Round Neck T-shirt,Pepe Jeans,Girls,649,"Red embellished printed T-shirt, has a round neck, and short sleeves",Red,Shirt
SG YUVRAJ Boys Black Solid Kurta with Pyjamas,SG YUVRAJ,Boys,879,"Black solid kurta with pyjamas Black pathani knee length kurta, has a shirt collar, long sleeves, curved hem Black solid pyjamas, drawstring closure",Black,Kurta
Pepe Jeans Boys Off White Solid Slim Fit Mid-Rise Cotton Denim Shorts with Printed Detail,Pepe Jeans,Boys,749,"Off white solid mid-rise denim shorts with printed detail, has 3 insert pockets and 2 patch pockets, button and zip fly closure",White,Jeans
Pepe Jeans Boys Red Tartan Checks Checked Casual Shirt,Pepe Jeans,Boys,1299,"Red tartan checks checked opaque Casual shirt ,has a spread collar,  button placket,  1 patch pocket, long regular sleeves,  curved hem",Red,Shirt
The Dry State Women Green Striped Round Neck Slim Fit T-shirt,The Dry State,Women,699,"Green and yellow striped T-shirt, has a round neck, and short sleeves",Green,Shirt
DressBerry Women Gold-Toned & Purple Colourblocked Open Toe Flats,DressBerry,Women,559,"A pair of gold-toned & purple open-toed flats, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 15 daysWarranty provided by brand/manufacturer",Gold,Dress
Pepe Jeans Boys Navy Blue Typography Printed Polo Collar T-shirt,Pepe Jeans,Boys,499,"  Navy blue Tshirt for boys   Typography printed   Regular length   Polo collar   Short,  regular sleeves   Knitted cotton fabric   Button closure  ",Blue,Shirt
Alcis Men Navy Blue Printed Round Neck T-shirt,Alcis,Men,599,"Navy Blue and Grey printed T-shirt, has a round neck, and short sleeves",Blue,Shirt
Alcis Women Blue Printed Round Neck T-shirt,Alcis,Women,749,"Blue printed T-shirt, has a round neck, and short sleeves",Blue,Shirt
Alcis Women Sea Green Solid Round Neck T-shirt,Alcis,Women,479,"Sea Green solid T-shirt, has a round neck, and short sleeves",Green,Shirt
Louis Philippe Jeans Men White & Teal Blue Slim Fit Printed Casual Shirt,Louis Philippe Jeans,Men,2199,"White and Teal Blue printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Pepe Jeans Boys Grey Printed Sweatshirt,Pepe Jeans,Boys,649,"Grey printed pullover, has a round neck, long sleves and ribbed hem",Grey,Shirt
Pepe Jeans Girls Pink Printed Round Neck T-shirt,Pepe Jeans,Girls,499,"Pink printed T-shirt, has a round neck, and short sleeves",Pink,Shirt
DEYANN Men Grey & White Printed Kurta with Churidar,DEYANN,Men,1377,"Grey and white printed kurta with churidarGrey straight knee length kurta, has a mandarin collar, three-quarter sleeves, straight hemWhite solid churidar, drawstring closure",White,Kurta
Pepe Jeans Boys Red Solid Padded Jacket,Pepe Jeans,Boys,1249,"Red solid padded jacket, has a stand collar, 2 pockets, zip closure, sleeveless, straight hem, and polyester lining",Red,Jeans
Pepe Jeans Boys Black & White Printed Sweatshirt,Pepe Jeans,Boys,699,"Black and white printed sweatshirt, has a round neck, long sleeves, straight hem",Black,Shirt
Pepe Jeans Boys Blue & White Striped Light Fade Stretchable Jeans,Pepe Jeans,Boys,849,"  Medium light fade blue jeans   Regular fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  ",Blue,Jeans
Pepe Jeans Boys Orange & White Regular Fit Checked FORCE LS IP Casual Shirt,Pepe Jeans,Boys,699,"Orange and White checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",White,Shirt
Pepe Jeans Boys White Printed Round Neck T-shirt,Pepe Jeans,Boys,499,"White printed T-shirt, has a round neck, and short sleeves",White,Shirt
hummel Men Navy Blue Solid Hooded Sweatshirt,hummel,Men,1199,"Navy Blue solid sweatshirt, has a hood, two pockets, long sleeves, zip closure, straight hem",Blue,Shirt
Pepe Jeans Boys Orange Solid Bomber Jacket,Pepe Jeans,Boys,1249,"Orange solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining",Orange,Jeans
Pepe Jeans Boys Grey & Black Biker Print Round Neck T-shirt,Pepe Jeans,Boys,524,"Grey and black biker print T-shirt with dyed effect, has a round neck, and long sleeves",Black,Shirt
STREET 9 Women Black & Mustard Yellow Colourblocked Layered Basic Jumpsuit,STREET 9,Women,779,"Black and mustard yellow colourblocked basic jumpsuit with layered and pleated detail, has shoulder straps, short sleeves, two pockets, concealed zip closure, cuffed hem",Red,Suit
Genius18 Men Grey & Black Printed Sweatshirt,Genius18,Men,919,"Grey and Black printed sweatshirt, has a round neck, long sleeves",Black,Shirt
Pepe Jeans Girls Blue BETH Skinny Fit Stretchable Jeans,Pepe Jeans,Girls,799,"  Dark no fade blue jeans   Skinny fit,  mid-rise   Clean look   Stretchable   With side stripe   5 pocket   Length: regular  ",Blue,Jeans
