ProductName,ProductBrand,Gender,Price (INR),Description,PrimaryColor,JenisPakaian
Instacrush Women Multicoloured Striped Shirt Style Top,Instacrush,Women,1399,"Multicoloured striped woven shirt style  top, has a V-neck, three-quarter sleeves, and button closure",Red,Shirt
Plum Green Tea Pore Cleansing Face Wash & Kajal with Sharpener,Plum,Women,672,"Suitable for which skin typeAll skin types What it isGreen tea pore cleansing face washWhat it doesSoap-free, gently foaming cleansing system that does not dry skinCellulose beads that gently exfoliate Antioxidant green tea extracts stop the acne formation process in its tracksGlycolic acid knocks out older skin cells that can hang in there and make your acne worseParaben-free, SLS-free, phthalate-freeIngredientsGlycolic acidGreen tea extractCellulose beadsWhat it isNaturStudio All-Day-Wear Kohl KajalComes with a sharpnerShade nameBlackWhat it doesNaturStudio All-Day-Wear Kohl Kajal is safe for use as a liner and as a kohl-kajalGo ahead, create looks to your heart's contentWaterproof and smudge-free formula",Green,Suit
Pepe Jeans Girls Navy Blue Bootcut Light Fade Stretchable Jeans,Pepe Jeans,Girls,749,"Dark light fade navy blue jeansBootcut, mid-riseClean lookStretchableButton and zip closure5 pocketLength: regular",Blue,Jeans
Pepe Jeans Girls Blue Skinny Fit Mildly Distressed Light Fade Stretchable Jeans,Pepe Jeans,Girls,849,Medium light fade blue jeansSkinny fitMid-riseMildly distressedStretchable5 pocketLength: regular,Blue,Jeans
Indo Era Women Cream-Coloured & Orange Printed A-Line Dress,Indo Era,Women,1099,"Cream-Coloured and Grey printed woven A-line dress, has a round neck, short sleeves, hook-and-eye closure, flared hem, two pockets",Red,Dress
Saree mall Off-White & Red Printed Kasavu Saree,Saree mall,Women,989,"Design Detail:Off-White, red and golden kasavu printed saree and has a printed borderBlouse PieceThe model is wearing a stitched version of the blouse. The saree comes with an unstitched blouse piece.Origin:Kasavu sarees originated from the land of 'God's own country', Kerala. These are handwoven sarees in shades of white and has a golden border.",Red,Saree
Pepe Jeans Boys Black Printed WILL SS IP Round Neck T-shirt,Pepe Jeans,Boys,449,"Black printed T-shirt, has a round neck, and short sleeves",Black,Shirt
Plum Green Tea Alcohol-Free Toner & Kajal with Sharpener,Plum,Women,708,"Suitable for which skin typeDry, normal and combinationWhat it isPlum Green Tea alcohol-free tonerWhat it doesAstringency (tightness) on your skin that you can feel - great for enlarged poresAntioxidant organic green tea extracts that help control blemishes and acne (pimples)Gentle exfoliation of debris and dead cells thanks to glycolic acid100% alcohol-freeDoes not dry face like alcohol-based tonersRich in green tea extracts - tones, hydrates and clarifies skinGlycolic acid helps weed out dead cellsHand-picked non-comedogenic ingredientIngredientsGreen teaGlycolic acidGlycerineShade nameBlackWhat it isNaturStudio All-Day-Wear Kohl KajalComes with a sharpnerWhat it doesNaturStudio All-Day-Wear Kohl Kajal is safe for use as a liner and as a kohl-kajalGo ahead, create looks to your heart's contentWaterproof and smudge-free formulaIngredientsHydrogenated Castor OilRice Bran WaxNatural Vitamin E",Green,Suit
Pepe Jeans Boys Blue Printed Round Neck T-shirt,Pepe Jeans,Boys,449,"Blue printed T-shirt, has a round neck, and short sleeves",Blue,Shirt
Louis Philippe Sport Men Blue & Yellow Slim Fit Checked Casual Shirt,Louis Philippe Sport,Men,1199,"Blue and Yellow checked casual shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Pepe Jeans Girls Navy Blue Flip Sequinned Round Neck T-shirt,Pepe Jeans,Girls,649,"Navy Blue flip sequinned T-shirt, has a round neck, and short sleeves",Blue,Shirt
Genius18 Men White & Black Printed Round Neck T-shirt,Genius18,Men,499,"White and black printed T-shirt, has a round neck, and short sleeves",Black,Shirt
Puma Men Black & Yellow Spirit II FG Football Shoes,Puma,Men,2274,"About the shoeThe PUMA SPIRIT II is a boot engineered for value. It combines lightweight, comfort and longevity by using a soft, yet highly durable synthetic upper material and a soft lining which shapes to the foot. For every level of performance, the PUMA Spirit is a classic soccer cleat designed for expert control on the ball and versatile movements on the field. Product DetailsA pair of black & yellow football sports shoes, has regular styling, lace-up detailStrategically placed stud configuration for optimal traction and speedSuitable for use on firm natural surfacesSmooth synthetic leather upperAll-over gradient designFull lace closure for snug fitEasy slip-on structure easily adapts to foot shapeLightweight TPU outsole with dynamic stud configuration for traction through movementsPUMA Formstrip design across lateral sideWarranty: 3 monthsWarranty provided by brand/manufacturer",Yellow,Suit
Pepe Jeans Boys Navy Blue & Yellow Checked Casual Shirt,Pepe Jeans,Boys,749,"Navy blue and yellow checked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem",Blue,Shirt
SG YUVRAJ Boys Blue Solid Kurta with Pyjamas,SG YUVRAJ,Boys,879,"Blue solid kurta with pyjamas Blue pathani knee length kurta, has a shirt collar, long sleeves, curved hem Blue solid pyjamas, drawstring closure",Blue,Kurta
Flying Machine Men Khaki Slim Fit Checked Casual Shirt,Flying Machine,Men,759,"Khaki checked casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket",Khaki,Shirt
Pepe Jeans Boys White & Navy Blue Printed Sweatshirt,Pepe Jeans,Boys,699,"White & navy blue printed sweatshirt, has a round neck, long sleeves, straight hem",Blue,Shirt
Pepe Jeans Girls Blue Bootcut Mid-Rise Low Distress Stretchable Jeans,Pepe Jeans,Girls,749,"Blue light wash 5-pocket mid-rise jeans, low distress, light fade, has a button and zip closure, and waistband with belt loops",Blue,Jeans
Pepe Jeans Boys White & Blue Regular Fit Printed Casual Shirt,Pepe Jeans,Boys,649,"White, lavender and blue printed casual shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue,Shirt
Mast & Harbour Men Navy Blue & White Printed Round Neck T-shirt,Mast & Harbour,Men,699,"Navy blue and white printed T-shirt, has a round neck, and short sleeves",Blue,Shirt
Alcis Men Black Printed Detail V-Neck Training T-shirt,Alcis,Men,499,"Black printed detail training T-shirt, has a V-neck, and short sleevesEngineered with Antistatix and ultra-fresh technologies",Black,Shirt
Flying Machine Men Burgundy Printed Round Neck T-shirt,Flying Machine,Men,549,"Burgundy printed T-shirt,  has a round neck, short sleeves",Burgundy,Shirt
Alcis Men White Solid Slim Fit Round Neck T-shirt,Alcis,Men,449,"White solid T-shirt, has a round neck, and short sleeves",White,Shirt
Pepe Jeans Girls Black Self Design Sweatshirt,Pepe Jeans,Girls,899,"Black self design sweatshirt, has a round neck, two pockets, long sleeves, zip closure, straight hem",Black,Shirt
Pepe Jeans Boys Blue Solid Hooded Padded Jacket,Pepe Jeans,Boys,1999,"Blue solid jacket, has a hooded, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining",Blue,Jeans
Pepe Jeans Boys Navy Blue Faded Casual Chambray Shirt,Pepe Jeans,Boys,949,"Navy blue faded opaque Casual shirt ,has a spread collar,  button placket,  1 patch pocket, long regular sleeves,  curved hem",Blue,Shirt
Nauti Nati Girls Off-White Embroidered Top,Nauti Nati,Girls,466,"Off-White embroidered knitted regular top with sequinned and applique detail, has a round neck, short sleeves, and button closure",Red,Top
SG YUVRAJ Boys Black Solid Kurta with Pyjamas,SG YUVRAJ,Boys,879,"Black solid kurta with pyjamas Black pathani knee length kurta, has a shirt collar, long sleeves, curved hem Black solid pyjamas, drawstring closure",Black,Kurta
Pepe Jeans Boys Charcoal Grey Pure Cotton Mid-Rise Cargo Shorts,Pepe Jeans,Boys,749,"Charcoal grey solid mid-rise cargo shorts, has 6 pockets, drawstring closure",Grey,Jeans
Alcis Women Solid BlueTrack Pants,Alcis,Women,649,"Blue solid track pants, has an elasticated waistband with a drawstring closure, two pocketsEngineered with Antimicrobial technology",Blue,Trousers
Pepe Jeans Boys Blue & White Regular Fit Checked & Acid Washed Casual Shirt,Pepe Jeans,Boys,749,"Blue and white checked casual shirt with acid washed effect, has a spread collar, long sleeves, button placket, curved hem, and 2 flap pockets",Blue,Shirt
Raymond Men Navy Blue Contemporary Regular Fit Self Design Formal Shirt,Raymond,Men,949,"Navy Blue self-design formal shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Pepe Jeans Boys White Printed Polo Collar T-shirt,Pepe Jeans,Boys,524,"White printed T-shirt, has a polo collar, and short sleeves",White,Shirt
Alcis Women Navy Blue Solid Slim Fit Running Shorts,Alcis,Women,499,"Navy solid high-rise running shorts, has elasticated waistband with slip-on closure, and 1 concealed zip pocketEngineered with Antistatix, Drytech+ and Stretch X technologies",Blue,Shorts
Pepe Jeans Boys Red Printed ARSENE SS IP Round Neck T-shirt,Pepe Jeans,Boys,499,"Red printed T-shirt, has a round neck, and short sleeves",Red,Shirt
Alcis Men Maroon Printed Round Neck T-shirt,Alcis,Men,599,"Maroon printed T-shirt, has a round neck, and short sleevesEngineered with Antistatix and Drytech+ technologies",Maroon,Shirt
Rain & Rainbow Women Blue Printed A-Line Kurta,Rain & Rainbow,Women,1679,"Blue and green printed A-line kurta with tie-up detail, has a notched round neck, three-quarter sleeves, and flared hem",Blue,Kurta
Flying Machine Men Blue Slim Fit Checked Casual Shirt,Flying Machine,Men,919,"Blue checked casual shirt, has a slim collar, long sleeves, button placket, and curved hem",Blue,Shirt
Pepe Jeans Boys Black Printed Round Neck T-shirt,Pepe Jeans,Boys,499,"Black printed T-shirt, has a round neck, and short sleeves",Black,Shirt
KID1 Girls & Green Pink Embroidered Kurta with Dhoti Pants & Dupatta,KID1,Girls,1402,"Pink and green embroidered kurta with dhoti pantsPink straight above knee kurta, has a round neck, short sleeves, straight hem, side slitsGreen solid dhoti pants, slip-on closurePink and green printed Dupatta",Green,Kurta
hummel Men Grey Printed Hooded Sweatshirt,hummel,Men,1199,"Grey printed sweatshirt, has a hood, long sleeves, straight hem",Grey,Shirt
Pepe Jeans Boys Blue Washed Mid-Rise Denim Shorts,Pepe Jeans,Boys,1189,"Blue washed mid-rise denim shorts, has an elasticated waistband, drawstring closure and five pockets",Blue,Jeans
Pepe Jeans Girls Blue Skinny Fit Mid-Rise Clean Look Jeans,Pepe Jeans,Girls,949,"Blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Blue,Jeans
Pepe Jeans Girls Navy Blue Heavy Fade Stretchable Jeans,Pepe Jeans,Girls,1999,Dark heavy fade navy blue jeansRegular fitMid-riseClean lookStretchable5 pocketLength: regular,Blue,Jeans
Pepe Jeans Boys Red Printed Round Neck T-shirt,Pepe Jeans,Boys,499,"Red printed T-shirt, has a round neck, and short sleeves",Red,Shirt
Pepe Jeans Boys Yellow Printed Round Neck T-shirt,Pepe Jeans,Boys,349,"Yellow printed T-shirt, has a round neck, and short sleeves",Yellow,Shirt
SG YUVRAJ Boys White Solid Kurta with Pyjamas,SG YUVRAJ,Boys,879,"White solid kurta with pyjamasWhite pathani knee length kurta, has a shirt collar, long sleeves, curved hem, two pocketsWhite solid pyjamas, drawstring closure",White,Kurta
Pepe Jeans Boys Navy Blue & White Faded & Striped CottonT-shirt,Pepe Jeans,Boys,699,"Navy blue and white Tshirt for boysFaded and striped with Typography print detailRegular lengthRound neckShort, regular sleevesKnitted cotton fabric",Blue,Shirt
Pepe Jeans Boys Red Printed Round Neck T-shirt,Pepe Jeans,Boys,349,"Red printed T-shirt, has a round neck, and short sleeves",Red,Shirt
Alcis Women Black & Charcoal Grey Printed Detail Hooded Sweatshirt,Alcis,Women,1359,"Black and charcoal grey hooded sweatshirt with printed detail, has long sleeves, fleece linedEngineered with antimicrobial technology",Black,Shirt
Twisha Boys Coral Red & Beige Self Design Brocade Weave Kurta with Dhoti Pants,Twisha,Boys,1529,"Coral Red and beige self design kurta with dhoti pantsCoral Red straight knee length kurta, has a round neck, long sleeves, straight hem, multiple slitsBeige Solid dhoti pants, has elasticated waistband, slip-on closure",Red,Kurta
Twisha Girls Orange Shibori Printed Cinched Waist Top,Twisha,Girls,699,"Orange shibori printed woven cinched waist top, has a round neck, long sleeves, and hook and eye closureComes with an inner",Orange,Top
Alcis Men Black Solid Running Sweatshirt,Alcis,Men,1039,"Black solid running sweatshirt, has a mock collar, long sleeves, zip closure, straight hemEngineered with Antistatix and Drytech+ technologies",Black,Shirt
DressBerry Women Tan Brown Solid Pumps,DressBerry,Women,2199,"A pair of tan pointed toe pumps, has regular styling, closed back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a slim heelWarranty: 1 monthWarranty provided by brand/manufacturer",Brown,Dress
Louis Philippe Sport Men Mustard Yellow & Green Super Slim Self-Checked Smart Casual Shirt,Louis Philippe Sport,Men,1592,"Mustard yellow and green self-checked smart casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Green,Shirt
Lapis O Lupo Tan Brown Solid Sling Bag,Lapis O Lupo,Women,655,"Tan brown solid sling bag, has a zip closure1 main compartment, 1 inner pocketA non-detachable sling strap",Brown,Bag
Pepe Jeans Boys Navy Blue Regular Fit Printed Casual Shirt,Pepe Jeans,Boys,699,"Navy Blue printed casual shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue,Shirt
Pepe Jeans Boys Multicoloured Regular Fit Striped Casual Shirt,Pepe Jeans,Boys,649,"Multicoloured striped casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Red,Shirt
SG YUVRAJ Boys Blue Solid Kurta with Pyjamas,SG YUVRAJ,Boys,879,"Blue solid kurta with pyjamas Blue pathani knee length kurta, has a shirt collar, long sleeves, curved hem Blue solid pyjamas, drawstring closure",Blue,Kurta
Pepe Jeans Boys Green & Blue MAGNUS LS IP Regular Fit Checked Casual Shirt,Pepe Jeans,Boys,749,"Green and Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Raymond Men Brown & Black Slim Fit Printed Formal Shirt,Raymond,Men,1034,"Brown and black printed formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Black,Shirt
Pepe Jeans Boys Blue Regular Fit Printed Casual Shirt,Pepe Jeans,Boys,699,"Blue printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
QUIERO Women Off-White & Navy Blue Printed Basic Jumpsuit,QUIERO,Women,963,"Off-white, navy blue and peach-coloured printed jumpsuit with pleated detail, has a V-neck, sleeveless, buttton and loop and concealed zip closure, mock buttons, two pockets, has a liningComes with a belt",Blue,Suit
MISH Women Navy Blue Solid Maxi Dress,MISH,Women,2999,"Navy Blue solid woven maxi dress with embellished and tie-up detail, has a V-neck, three-quarter sleeves, concealed zip closure, an attached lining, and flared hem",Blue,Dress
Genius18 Men Black & Grey Melange Colourblocked Hooded Sweatshirt,Genius18,Men,874,"Black and grey melange colourblocked sweatshirt, has a hood, two pockets, long sleeves, zip closure, curved hem",Black,Shirt
SG YUVRAJ Boys Coffee Brown Solid Kurta with Pyjamas,SG YUVRAJ,Boys,879,"Coffee Brown solid kurta with pyjamas Coffee Brown pathani knee length kurta, has a shirt collar, long sleeves, curved hem Coffee Brown solid pyjamas, drawstring closure",Brown,Kurta
Indo Era Women Off-White & Blue Printed A-Line Kurta with Palazzos,Indo Era,Women,1165,"Off-white and blue printed A-Line kurta with palazzosOff-white and blue printed A-line calf length kurta, has a round neck, three-quarter sleeves, flared hem, front slit, hook and eye closuresOff-white and blue printed palazzos, has a partially elasticated waistband with slip-on closure, two pockets",Blue,Kurta
Alcis Women Charcoal Grey & Black Printed Detail Hooded Sweatshirt,Alcis,Women,1359,"Charcoal grey and black hooded sweatshirt with printed detail, has long sleeves, fleece linedEngineered with antimicrobial technology",Black,Shirt
Lino Perros Blue Solid Handheld Bag,Lino Perros,Women,1478,"Blue solid handheld bag, has a zip closure1 main compartment, 2 external and 2 inner pocketsTablet sleeve: NoTwo Handles with a detachable sling strap",Blue,Bag
Pepe Jeans Boys Green Printed Sweatshirt,Pepe Jeans,Boys,799,"Green printed sweatshirt, has a mock collar, long sleeves, zip closure, straight hem",Green,Shirt
Pepe Jeans Girls Navy Blue Washed Skinny Fit Low Distress Light Fade Stretchable Jeans,Pepe Jeans,Girls,1099,"Dark light fade navy blue jeansSkinny fit, mid-riseLow distressStretchable3 insert pockets and 2 patch pockets Length: regular",Blue,Jeans
Pepe Jeans Boys Off-White & Blue Printed Round Neck T-shirt,Pepe Jeans,Boys,699,"Off-white, blue and red printed T-shirt, has a round neck, and short sleeves",Blue,Shirt
STREET 9 Women Red & White Striped Basic Jumpsuit,STREET 9,Women,569,"Red and white striped basic jumpsuit with ruffled and pleated detail, has a square neck, sleeveless, two pockets, concealed zip closure",Red,Suit
Lapis O Lupo Tan Brown Solid Handheld Bag,Lapis O Lupo,Women,815,"Tan brown solid handheld bag, has a zip closure2 main compartments, 1 inner pocketTablet sleeve: NoTwo Handles",Brown,Bag
Flying Machine Men Black & Off-White Regular Fit Printed Casual Shirt,Flying Machine,Men,719,"Black and Off-white printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Black,Shirt
QUIERO Women Rust Red Striped Semi-Sheer Boxy Top,QUIERO,Women,861,"Rust and White striped semi-sheer woven boxy top, has a square neck, three-quarter sleeves",Red,Top
Louis Philippe Sport Men Blue & Green Super Slim Fit Checked Smart Casual Shirt,Louis Philippe Sport,Men,1474,"Blue and green checked semiformal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Alcis Men Navy Blue Printed Detail Round Neck T-shirt,Alcis,Men,499,"Navy Blue printed T-shirt with printed detail, has a round neck, and short sleevesEngineered with Dry tech technology",Blue,Shirt
Pepe Jeans Boys Blue Printed Round Neck T-shirt,Pepe Jeans,Boys,699,"Blue printed T-shirt, has a round neck, and long sleeves",Blue,Shirt
Pepe Jeans Boys Blue Slim Fit Light Fade Stretchable Jeans,Pepe Jeans,Boys,949,"  Dark light fade blue jeans   Slim fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  ",Blue,Jeans
Pepe Jeans Boys Blue Straight Fit Mid-Rise Clean Look Stretchable Jeans,Pepe Jeans,Boys,749,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",Blue,Jeans
Indo Era Women Maroon & Beige Printed Anghrakha Kurta with Palazzos & Dupatta,Indo Era,Women,1259,"Maroon and beige printed Anghrakha kurta with palazzosMaroon and beige printed A-line calf length Anghrakha kurta with panelled and butto detail, has a V-neck, short sleeves, flared hemBeige and maroon printed palazzos, has a partially elasticated waistband with slip-on closureBeige and maroon printed dupatta",Beige,Kurta
Pepe Jeans Boys Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Pepe Jeans,Boys,849,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",Blue,Jeans
Pepe Jeans Boys Brown Regular Fit Solid Corduroy Trousers,Pepe Jeans,Boys,1099,"Brown solid mid-rise corduroy trousers, has button and zip closure, and 5 pockets",Brown,Jeans
Pepe Jeans Girls Blue Regular Fit Light Fade Stretchable Jeans,Pepe Jeans,Girls,1299,"Medium light fade blue jeansRegular fit, mid-riseClean lookStretchableButton and zip closure5 pocketLength: regular",Blue,Jeans
Alcis Men White Self Design Sports Sweatshirt,Alcis,Men,1039,"White self design sports sweatshirt, has a mock collar with half zip closure, long sleeves, straight hemEngineered with Rapid Dry, Antistatix, and Drytech+ technologies",White,Shirt
Pepe Jeans Boys White Printed Round Neck T-shirt,Pepe Jeans,Boys,449,"White printed T-shirt, has a round neck, and short sleeves",White,Shirt
Lino Perros Pink Solid Handheld Bag,Lino Perros,Women,1677,"Pink solid handheld bag, has a zip closure1 main compartment, 1 inner pocketTablet sleeve: NoTwo Handles",Pink,Bag
Puma Men Navy Blue Solid Pollux Mid-Top Sneakers,Puma,Men,3249,"Design Details:A pair of round-toe navy blue sneakers, has mid-top styling, lace-up detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer",Blue,Top
Pepe Jeans Boys Blue Printed Polo Collar T-shirt,Pepe Jeans,Boys,524,"Blue and Red printed T-shirt, has a polo collar, and short sleeves",Blue,Shirt
Pepe Jeans Boys Yellow Solid Padded Jacket,Pepe Jeans,Boys,1499,"Yellow solid padded jacket, has a hood, 2 pockets, concealed zip closure, sleeveless, straight hem, and polyester lining",Yellow,Jeans
Pepe Jeans Girls White Printed Round Neck T-shirt,Pepe Jeans,Girls,524,"White self-design T-shirt, has a round neck, and short sleeves",White,Shirt
Aj DEZInES Boys White Regular Fit Solid Party Shirt with Waistcoat & Bow Tie,Aj DEZInES,Boys,739,"White solid party shirt, has a spread collar, long roll-up sleeves, button placket, and high-low hemBlue and white woven checked waistcoat, has a V-neck, full button placket, sleeveless, three welt pockets, asymmetric hem, attached pocket squareBlue and white checked bow tie",White,Shirt
SG YUVRAJ Boys Coffee Brown Solid Kurta with Pyjamas,SG YUVRAJ,Boys,879,"Coffee Brown solid kurta with pyjamas Coffee Brown pathani knee length kurta, has a shirt collar, long sleeves, curved hem Coffee Brown solid pyjamas, drawstring closure",Brown,Kurta
Wild stone Men Set Of 2 Code Platinum Body Perfumes,Wild stone,Men,390,What it isSet Of 2 Platinum Body Perfumes Wild Stone Code Platinum Body PerfumeFeaturesWell Suited for Parties.This fragrance is for the men looking for an upgrade in their lives.Full body long-lasting perfume body spray.Fragrance is Safe to use on Skin,Platinum,Suit
Pepe Jeans Girls Green Self Design Round Neck T-shirt,Pepe Jeans,Girls,399,"Green self-design T-shirt, has a round neck, and short sleeves",Green,Shirt
Peter England Men Black Self-Design Tailored Fit Single-Breasted Formal Suit,Peter England,Men,3199,"Black self-design formal suitBlack self-design formal blazer, has a notched lapel, single-breasted with double button closures, long sleeves, a chest pocket, two welt pockets, double vented back hem and has an attached lining with one inner pocketBlack self-design mid-rise formal trousers, has three pockets, a zip fly closure",Red,Suit
Pepe Jeans Boys Blue Solid Hooded Padded Jacket,Pepe Jeans,Boys,1749,"Blue solid jacket, has a hooded, 2 pockets, zip closure, long sleeves, straight hem",Blue,Jeans
Jompers Men Blue Woven Design Straight Kurta,Jompers,Men,884,"Blue woven design straight kurta, has a mandarin collar, long sleeves, straight hem, and multiple slits",Blue,Kurta
Saree mall Cream-Coloured & Red Foil Printed Kasavu Saree,Saree mall,Women,863,"Design Detail:Cream-Coloured, red and green kasavu foil printed sareeBlouse PieceThe model is wearing a stitched version of the blouse. The saree comes with an unstitched blouse piece.Origin:Kasavu sarees originated from the land of 'God's own country', Kerala. These are handwoven sarees in shades of white and has a golden border.",Red,Saree
Raymond Men Purple & Blue Contemporary Regular Fit Checked Formal Shirt,Raymond,Men,759,"Purple and Blue checked formal shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Pepe Jeans Boys Blue & Black Striped Polo Collar T-shirt,Pepe Jeans,Boys,699,"  Blue Tshirt for boys   Striped   Regular length   Polo collar   Short,  regular sleeves   Knitted cotton fabric   Button closure   Fashion trends come and go, but a few manage to break the cycle and earn wardrobe-essential status. A basic, if you will. New Basics resurface year after year, and outfits wouldnt be the same without them. These pieces are tried-and-true wardrobe staples and act as the foundation to every good look.",Blue,Shirt
Pepe Jeans Boys Black Printed Pullover,Pepe Jeans,Boys,799,"Black printed sweater, has a round neck, long sleeves, and straight hem",Black,Jeans
Saree mall Cream-Coloured & Maroon Printed Kasavu Saree,Saree mall,Women,939,"Design Detail:Cream-coloured, maroon and golden Kasavu printed sareenbsp;Blouse PieceThenbsp;modelnbsp;isnbsp;wearingnbsp;anbsp;stitchednbsp;version of the blouse. The saree comes with an unstitched blouse piece.Origin:Kasavu sarees originated from the land of 'God's own country', Kerala. These are handwoven sarees in shades of white and has a golden border.",Red,Saree
Saree mall Cream-Coloured & Grey Floral Print Saree,Saree mall,Women,679,"Design Detail:Cream-coloured, grey and pink floral print saree, has woven design borderBlouse PieceThe model is wearing a stitched version of the blouse. The saree comes with an unstitched blouse piece",Red,Saree
Lapis O Lupo Grey Self Design Handheld Bag,Lapis O Lupo,Women,1043,"Grey self design handheld bag with embroidered detail, has a zip closure4 main compartments, 1 external and 1 inner pocketsTablet sleeve: NoTwo Handles with a detachable sling strap",Grey,Bag
Maniac Men Black Solid Slim Fit Knitted Sports Shorts,Maniac,Men,332,"Black solid mid-rise knitted sports shorts, has 2 pockets, and drawstring closure",Black,Shorts
Pepe Jeans Boys Blue Colourblocked Sweater,Pepe Jeans,Boys,899,"Blue colourblocked sweater, has a round neck, long sleeves, and ribbed hem",Blue,Jeans
Jack & Jones Men Yellow Lion King  Printed Round Neck T-shirt,Jack & Jones,Men,599,"Yellow lion king  printed T-shirt, has a round neck, and short sleeves",Yellow,Shirt
Calvin Klein Jeans Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Calvin Klein Jeans,Men,5999,"Blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Blue,Jeans
Calvin Klein Jeans Men White Solid Round Neck T-shirt,Calvin Klein Jeans,Men,3299,"White solid T-shirt, has a round neck, short sleeves, and 1 pocket with printed detailing",White,Shirt
Calvin Klein Jeans Men White Printed Round Neck T-shirt,Calvin Klein Jeans,Men,1649,"White printed T-shirt, has a round neck, and short sleeves",White,Shirt
Pepe Jeans Men Blue Regular Fit Solid Chambray Casual Shirt,Pepe Jeans,Men,1249,"Blue solid casual shirt, has a spread collar, long sleeves, snap button placket, curved hem, and 2 flap pockets",Blue,Shirt
Jompers Women Green Woven Design Straight Kurta,Jompers,Women,699,"Green woven design straight kurta, has a mandarin collar, button closures, two flap mock pockets, three-quarter sleeves, straight hem, and multiple slits",Green,Kurta
Calvin Klein Jeans Men Green Solid Round Neck T-shirt,Calvin Klein Jeans,Men,1539,"Green solid T-shirt, has a round neck, and short sleeves",Green,Shirt
FAUSTO Men Grey Colourblocked Leather Mid-Top Flat Boots,FAUSTO,Men,1529,"A pair of round-toe grey flat boots, has mid-top styling, slip-on detailLeather upperCushioned footbedTextured and patterned outsole",Grey,Top
Calvin Klein Jeans Men Teal Blue & Grey Striped Polo Collar T-shirt,Calvin Klein Jeans,Men,2759,"Teal blue and grey striped T-shirt, has a polo collar, short sleeves",Blue,Shirt
Belle Fille Women White Solid Sheer Shirt Style Top,Belle Fille,Women,559,"White solid woven sheer shirt style top, has a tie-up neck, three-quarter sleeves, and button closure",White,Shirt
612 league Girls Blue Regular Fit Mid-Rise Low Distress Jeans,612 league,Girls,877,"Blue medium wash 5-pocket mid-rise jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops",Blue,Jeans
Belle Fille Women Navy Blue & White Striped A-Line Dress,Belle Fille,Women,879,"Navy Blue and White striped woven A-line dress with tie-up detail, has a high neck with ruffles, sleeveless, concealed zip closure, and flounce hem",Blue,Dress
Calvin Klein Jeans Men Navy Blue Printed Slim Fit Round Neck T-shirt,Calvin Klein Jeans,Men,1799,"Navy Blue printed T-shirt, has a round neck, and short sleeves",Blue,Shirt
ONLY Women Burgundy Self Design Top,ONLY,Women,804,"Burgundy self-design woven regular  top, has a round neck, short sleeves, and hook and eye closure",Burgundy,Top
Calvin Klein Jeans Men Black Printed Round Neck T-shirt,Calvin Klein Jeans,Men,2999,"Black printed T-shirt, has a round neck, and long sleeves",Black,Shirt
Belle Fille Women Mustard Brown Solid Layered Top,Belle Fille,Women,599,"Mustard brown solid woven layered regular top, has a high neck, sleeveless, button closure",Red,Top
Pepe Jeans Men Navy Blue Slim Fit Stretchable Jeans,Pepe Jeans,Men,1799,"Navy Blue wash five-pocket mid-rise jeans, no fade, and has a button and zip closure Design Details-	73 FASHION- RAW- CLASSIC DENIM WITH STYLISED 5 POCKET SLIMFIT- MID RISE  JEANS  JEANS,  DARK RINSE- CLEAN LOOK NON FADED,   ZIP FLY WITH 5 BELT  LOOPS",Blue,Jeans
